,Date,FTHG,FTAG,FTR,Home,Away,PH,PD,PA,PCH,PCD,PCA
0,01/01/13,5.0,0.0,H,Swindon,Portsmouth,1.43,4.73,8.35,1.4,5.12,8.86
1,01/01/13,2.0,2.0,D,Scunthorpe,Oldham,2.71,3.36,2.76,2.71,3.4,2.77
2,01/01/13,1.0,2.0,A,Notts County,Milton Keynes Dons,2.95,3.39,2.53,2.82,3.42,2.64
3,01/01/13,0.0,1.0,A,Hartlepool,Preston,3.89,3.57,2.03,3.42,3.51,2.23
4,01/01/13,2.0,2.0,D,Doncaster,Sheffield United,2.95,3.34,2.55,2.8,3.3,2.74
5,01/01/13,1.0,0.0,H,Crewe,Carlisle,2.05,3.78,3.6,2.36,3.74,3.0
6,01/01/13,1.0,0.0,H,Walsall,Stevenage,2.28,3.46,3.3,2.64,3.49,2.78
7,01/01/13,3.0,0.0,H,Crawley Town,Colchester,1.74,3.83,5.18,1.83,3.72,4.8
8,01/01/13,3.0,4.0,A,Watford,Charlton,1.78,3.74,5.08,1.9,3.74,4.38
9,01/01/13,0.0,1.0,A,Bury,Tranmere,3.19,3.4,2.37,2.75,3.28,2.81
10,01/01/13,0.0,0.0,D,Brentford,Bournemouth,2.31,3.68,3.07,2.36,3.67,3.04
11,01/01/13,3.0,0.0,H,Blackburn,Nott'm Forest,2.26,3.41,3.45,2.63,3.39,2.91
12,01/01/13,0.0,0.0,D,Blackpool,Hull,2.47,3.54,2.96,2.36,3.66,3.07
13,01/01/13,0.0,1.0,A,Birmingham,Cardiff,3.51,3.6,2.16,3.2,3.52,2.34
14,01/01/13,0.0,2.0,A,Port Vale,Fleetwood Town,2.1,3.55,3.68,1.96,3.76,3.99
15,01/01/13,3.0,0.0,H,Yeovil,Leyton Orient,2.43,3.45,3.05,2.6,3.34,2.94
16,01/01/13,1.0,2.0,A,Rochdale,Rotherham,2.93,3.5,2.48,2.98,3.61,2.43
17,01/01/13,0.0,1.0,A,Wycombe,Exeter,2.7,3.46,2.7,2.57,3.44,2.9
18,01/01/13,0.0,3.0,A,Alfreton Town,Mansfield,2.89,3.58,2.46,3.06,3.58,2.37
19,01/01/13,1.0,0.0,H,Cambridge,Braintree Town,1.79,3.88,4.65,1.77,3.9,4.7
20,01/01/13,2.0,2.0,D,Ebbsfleet,Dartford,2.76,3.61,2.56,2.75,3.68,2.57
21,01/01/13,0.0,1.0,A,Gateshead,Barrow,1.78,3.88,4.78,1.67,4.2,5.35
22,01/01/13,1.0,1.0,D,Grimsby,Lincoln,1.59,4.25,6.0,1.65,4.2,5.58
24,01/01/13,0.0,1.0,A,Kidderminster,Hereford,1.79,3.93,4.64,1.88,3.81,4.28
25,01/01/13,2.0,2.0,D,Macclesfield,Southport,1.85,3.89,4.33,1.85,3.99,4.3
26,01/01/13,0.0,5.0,A,Newport County,Forest Green,2.25,3.56,3.28,2.31,3.52,3.18
27,01/01/13,0.0,2.0,A,Telford United,Wrexham,4.19,3.68,1.93,5.01,3.88,1.76
28,01/01/13,3.0,1.0,H,Woking,Luton,3.62,3.79,2.04,3.62,3.65,2.09
29,01/01/13,2.0,3.0,A,Torquay,AFC Wimbledon,1.76,3.99,4.69,1.77,4.01,4.73
30,01/01/13,0.0,1.0,A,Southend,Gillingham,2.56,3.55,2.79,2.5,3.54,2.9
31,01/01/13,3.0,0.0,H,York,Burton,2.12,3.67,3.5,2.22,3.48,3.48
32,01/01/13,0.0,1.0,A,Coventry,Shrewsbury,1.67,4.0,5.58,1.72,4.16,4.88
33,01/01/13,0.0,3.0,A,Ipswich,Brighton,2.65,3.48,2.77,2.57,3.5,2.89
34,01/01/13,1.0,0.0,H,Leeds,Bolton,2.72,3.5,2.7,2.81,3.62,2.56
35,01/01/13,6.0,1.0,H,Leicester,Huddersfield,1.46,4.7,7.95,1.43,4.84,8.82
36,01/01/13,0.0,2.0,A,Sheffield Weds,Burnley,2.31,3.46,3.29,2.38,3.46,3.18
37,01/01/13,2.0,1.0,H,Millwall,Bristol City,1.7,3.97,5.41,1.81,3.81,4.72
38,01/01/13,2.0,1.0,H,Peterboro,Barnsley,2.34,3.62,3.11,2.22,3.66,3.29
39,01/01/13,1.0,0.0,H,Oxford,Cheltenham,2.41,3.42,3.1,2.27,3.41,3.41
40,01/01/13,2.0,1.0,H,Bristol Rvs,Plymouth,2.69,3.4,2.74,3.01,3.2,2.63
41,01/01/13,3.0,1.0,H,Derby,Middlesbrough,2.65,3.54,2.74,2.88,3.46,2.62
42,01/01/13,3.0,1.0,H,Northampton,Dag and Red,2.2,3.53,3.42,2.06,3.82,3.59
43,01/01/13,3.0,1.0,H,Crystal Palace,Wolves,1.93,3.7,4.27,1.88,3.8,4.46
44,01/01/13,0.0,1.0,A,Barnet,Aldershot,2.63,3.39,2.82,2.79,3.28,2.76
45,01/01/13,1.0,0.0,H,Accrington,Chesterfield,3.03,3.42,2.45,3.53,3.42,2.22
46,01/01/13,0.0,0.0,D,Morecambe,Bradford,3.07,3.44,2.42,2.97,3.34,2.57
47,01/01/14,1.0,1.0,D,Ipswich,Charlton,1.86,3.6,4.73,2.27,3.38,3.53
48,01/01/14,1.0,2.0,A,Oldham,Shrewsbury,1.92,3.56,4.38,1.92,3.61,4.32
49,01/01/14,1.0,3.0,A,Peterboro,Brentford,3.11,3.37,2.43,3.35,3.34,2.33
50,01/01/14,2.0,1.0,H,QPR,Doncaster,1.34,5.15,11.45,1.33,5.49,11.46
51,01/01/14,0.0,3.0,A,Hartlepool,Bury,2.33,3.49,3.17,2.26,3.6,3.28
52,01/01/14,1.0,0.0,H,Alfreton Town,Wrexham,2.51,3.7,2.75,3.45,3.63,2.17
53,01/01/14,3.0,2.0,H,Burnley,Huddersfield,2.11,3.52,3.75,2.05,3.55,4.01
54,01/01/14,1.0,1.0,D,Grimsby,Lincoln,1.6,4.18,6.03,1.6,4.24,6.11
55,01/01/14,3.0,3.0,D,Halifax,Gateshead,2.27,3.62,3.19,2.31,3.46,3.31
56,01/01/14,0.0,3.0,A,Hyde United,Macclesfield,5.58,4.24,1.63,5.83,4.22,1.62
57,01/01/14,2.0,1.0,H,Luton,Barnet,1.57,4.24,6.37,1.68,4.0,5.58
58,01/01/14,1.0,1.0,D,Brighton,Bournemouth,1.9,3.67,4.45,1.82,3.77,4.86
59,01/01/14,2.0,2.0,D,Bolton,Middlesbrough,2.39,3.47,3.14,2.6,3.4,2.94
60,01/01/14,1.0,1.0,D,Birmingham,Barnsley,1.9,3.73,4.34,1.88,3.83,4.48
61,01/01/14,1.0,0.0,H,Dag and Red,AFC Wimbledon,2.38,3.5,3.09,2.47,3.53,2.96
62,01/01/14,3.0,1.0,H,Fleetwood Town,Accrington,1.72,4.17,4.78,1.87,3.9,4.27
63,01/01/14,1.0,1.0,D,Reading,Nott'm Forest,2.83,3.3,2.7,2.94,3.35,2.63
64,01/01/14,1.0,2.0,A,Leeds,Blackburn,2.32,3.51,3.24,2.39,3.59,3.1
65,01/01/14,2.0,0.0,H,Plymouth,Torquay,1.88,3.67,4.43,2.03,3.47,4.08
66,01/01/14,3.0,0.0,H,Scunthorpe,Rochdale,2.35,3.55,3.11,2.4,3.51,3.09
67,01/01/14,0.0,0.0,D,Milton Keynes Dons,Colchester,1.61,4.1,6.1,1.55,4.29,6.7
68,01/01/14,0.0,0.0,D,Mansfield,Burton,2.96,3.58,2.42,3.23,3.34,2.4
69,01/01/14,3.0,2.0,H,Preston,Port Vale,1.74,4.08,4.76,1.77,3.89,4.91
70,01/01/14,1.0,3.0,A,Rotherham,Coventry,2.29,3.6,3.18,2.35,3.48,3.15
71,01/01/14,2.0,0.0,H,Sheffield Weds,Blackpool,2.43,3.44,3.09,2.25,3.45,3.5
72,01/01/14,1.0,3.0,A,Millwall,Leicester,3.94,3.76,1.96,4.26,3.71,1.94
73,01/01/14,2.0,1.0,H,Walsall,Sheffield United,2.19,3.41,3.55,2.41,3.28,3.23
74,01/01/14,1.0,0.0,H,York,Morecambe,2.2,3.52,3.43,2.12,3.45,3.8
75,01/01/14,2.0,1.0,H,Southend,Portsmouth,2.03,3.6,3.85,1.96,3.66,4.11
76,01/01/14,3.0,0.0,H,Notts County,Bradford,2.56,3.47,2.84,2.57,3.4,2.89
77,01/01/14,0.0,1.0,A,Derby,Wigan,2.06,3.66,3.78,2.09,3.59,3.85
78,01/01/14,1.0,1.0,D,Tranmere,Wolves,4.82,3.94,1.76,6.51,4.27,1.57
79,01/01/14,2.0,1.0,H,Crewe,Carlisle,2.69,3.48,2.69,2.75,3.45,2.69
80,01/01/15,4.0,1.0,H,Altrincham,Chester,2.27,3.52,3.27,2.42,3.55,3.03
81,01/01/15,1.0,1.0,D,Woking,Eastleigh,1.96,3.73,3.97,2.03,3.8,3.76
82,01/01/15,0.0,2.0,A,Welling United,Dover Athletic,2.99,3.44,2.46,2.93,3.3,2.62
83,01/01/15,0.0,0.0,D,Telford United,Nuneaton Town,2.18,3.68,3.33,2.31,3.73,3.09
84,01/01/15,2.0,4.0,A,Kidderminster,Forest Green,1.94,3.61,4.17,2.22,3.42,3.54
85,01/01/15,1.0,0.0,H,Barnet,Aldershot,1.62,4.24,5.66,1.62,4.18,5.98
86,01/01/15,3.0,0.0,H,Braintree Town,Dartford,1.58,4.07,6.58,1.71,3.94,5.34
87,01/01/15,1.0,1.0,D,Bristol Rvs,Torquay,1.87,3.69,4.45,1.79,3.8,4.95
