,Date,FTHG,FTAG,FTR,Home,Away,PH,PD,PA,PCH,PCD,PCA
0,01/01/13,1.0,1.0,D,Southampton,Arsenal,5.24,4.05,1.71,5.12,4.24,1.7
1,01/01/13,3.0,0.0,H,Man City,Stoke,1.31,5.77,12.1,1.33,5.17,12.82
2,01/01/13,0.0,4.0,A,Wigan,Man United,6.13,4.3,1.6,4.88,3.9,1.79
3,01/01/13,2.0,1.0,H,West Ham,Norwich,2.1,3.49,3.89,2.0,3.54,4.17
4,01/01/13,1.0,2.0,A,West Brom,Fulham,2.02,3.63,4.01,2.0,3.62,4.05
5,01/01/13,3.0,1.0,H,Tottenham,Reading,1.35,5.4,10.87,1.34,5.58,10.47
6,01/01/13,2.0,2.0,D,Swansea,Aston Villa,1.62,4.16,6.2,1.62,4.09,5.99
7,01/01/14,1.0,2.0,A,Man United,Tottenham,1.81,3.82,4.88,1.66,4.19,5.59
8,01/01/14,2.0,1.0,H,Fulham,West Ham,2.43,3.31,3.26,2.35,3.47,3.32
9,01/01/14,0.0,3.0,A,Southampton,Chelsea,3.85,3.58,2.07,3.95,3.49,2.09
10,01/01/14,1.0,1.0,D,Stoke,Everton,4.18,3.35,2.07,4.54,3.8,1.86
11,01/01/14,2.0,0.0,H,Liverpool,Hull,1.31,5.95,11.4,1.29,6.05,12.2
12,01/01/14,2.0,3.0,A,Swansea,Man City,5.63,4.25,1.65,5.73,3.94,1.69
13,01/01/14,1.0,0.0,H,West Brom,Newcastle,2.52,3.42,3.03,2.35,3.48,3.25
14,01/01/14,0.0,1.0,A,Sunderland,Aston Villa,2.14,3.47,3.77,2.09,3.4,4.03
15,01/01/14,1.0,1.0,D,Crystal Palace,Norwich,2.42,3.22,3.41,2.31,3.32,3.49
16,01/01/14,2.0,0.0,H,Arsenal,Cardiff,1.27,6.32,13.52,1.25,6.56,14.54
17,01/01/15,3.0,2.0,H,Man City,Sunderland,1.25,6.87,13.85,1.24,7.05,13.8
18,01/01/15,2.0,2.0,D,Liverpool,Leicester,1.42,5.04,8.38,1.41,5.0,9.05
19,01/01/15,2.0,0.0,H,Hull,Everton,3.44,3.39,2.3,3.15,3.35,2.48
20,01/01/15,0.0,0.0,D,Aston Villa,Crystal Palace,2.43,3.24,3.33,2.32,3.23,3.58
