,Country,League,H_team,A_team,Date,Time,FTHG,FTAG,HT1HG,HT1AG,HT2HG,HT2AG,HO_10x10bet,DO_10x10bet,AO_10x10bet,HC_10x10bet,DC_10x10bet,AC_10x10bet,HO_1xBet,DO_1xBet,AO_1xBet,HC_1xBet,DC_1xBet,AC_1xBet,HO_Betfair,DO_Betfair,AO_Betfair,HC_Betfair,DC_Betfair,AC_Betfair,HO_ComeOn,DO_ComeOn,AO_ComeOn,HC_ComeOn,DC_ComeOn,AC_ComeOn,HO_Curebet,DO_Curebet,AO_Curebet,HC_Curebet,DC_Curebet,AC_Curebet,HO_Lasbet,DO_Lasbet,AO_Lasbet,HC_Lasbet,DC_Lasbet,AC_Lasbet,HO_Marathonbet,DO_Marathonbet,AO_Marathonbet,HC_Marathonbet,DC_Marathonbet,AC_Marathonbet,HO_Pinnacle,DO_Pinnacle,AO_Pinnacle,HC_Pinnacle,DC_Pinnacle,AC_Pinnacle,HO_VOBET,DO_VOBET,AO_VOBET,HC_VOBET,DC_VOBET,AC_VOBET,HO_bwin,DO_bwin,AO_bwin,HC_bwin,DC_bwin,AC_bwin,HO_Unibet,DO_Unibet,AO_Unibet,HC_Unibet,DC_Unibet,AC_Unibet,HO_BetfairExchange,DO_BetfairExchange,AO_BetfairExchange,HC_BetfairExchange,DC_BetfairExchange,AC_BetfairExchange,HO_GGBET,DO_GGBET,AO_GGBET,HC_GGBET,DC_GGBET,AC_GGBET,HO_WilliamHill,DO_WilliamHill,AO_WilliamHill,HC_WilliamHill,DC_WilliamHill,AC_WilliamHill,HO_Alphabet,DO_Alphabet,AO_Alphabet,HC_Alphabet,DC_Alphabet,AC_Alphabet,HO_Interwetten,DO_Interwetten,AO_Interwetten,HC_Interwetten,DC_Interwetten,AC_Interwetten
0,france,national-2-group-a,Saint-Pryve,RacingClubdeFrance,2022-08-20,17:00:00,0,3,0,1,0,2,1.82,3.66,4.5,1.82,3.66,4.5,1.75,3.5,4.08,1.8,3.65,4.17,1.7,3.5,4.2,1.7,3.4,4.2,1.68,3.45,4.25,1.71,3.45,4.3,1.81,3.64,4.5,1.81,3.64,4.5,1.75,3.45,4.2,1.75,3.45,4.2,1.72,3.54,4.25,1.72,3.5,4.3,1.74,3.41,4.2,1.74,3.41,4.2,1.75,3.45,4.2,1.75,3.45,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,france,national-2-group-a,Rouen,Beauvais,2022-08-20,17:00:00,2,1,1,1,1,0,2.55,3.16,2.97,2.62,3.02,3.02,2.38,3.0,2.75,2.48,3.14,2.87,2.4,3.0,2.8,2.4,2.9,2.8,2.4,2.95,2.8,2.5,2.85,2.85,2.54,3.14,2.96,2.61,3.0,3.0,2.43,2.99,2.82,2.5,2.86,2.86,2.39,3.1,2.79,2.43,3.02,2.81,2.42,2.98,2.81,2.56,2.94,2.94,2.43,2.99,2.82,2.5,2.86,2.86,2.37,2.95,2.75,2.37,3.0,2.7,2.38,2.9,2.7,2.35,2.9,2.7,1.01,1.01,1.01,2.5,2.86,2.9,,,,,,,,,,,,,,,,,,,,,,,,
2,france,national-2-group-a,GuingampII,Evreux,2022-08-20,17:00:00,2,2,1,1,1,1,2.46,3.17,3.09,2.46,3.17,3.09,2.27,3.24,2.81,2.39,3.38,2.81,2.3,3.1,2.88,2.3,3.1,2.88,2.3,2.95,2.9,2.35,3.0,2.9,2.45,3.16,3.07,2.45,3.16,3.07,2.35,3.01,2.93,2.35,3.01,2.93,2.36,3.22,2.74,2.31,3.22,2.81,2.34,2.99,2.91,2.34,2.99,2.91,,,,,,,2.25,3.1,2.8,2.3,3.0,2.8,2.23,3.15,2.7,2.28,2.9,2.85,1.01,1.01,1.01,2.31,3.0,2.86,,,,,,,,,,,,,,,,,,,,,,,,
3,france,national-2-group-a,Blois,Granville,2022-08-20,17:00:00,2,1,1,1,1,0,2.45,3.45,2.9,2.46,3.39,2.91,2.27,3.0,3.07,2.34,3.12,3.12,2.25,3.1,2.9,2.3,3.2,2.7,2.25,3.1,2.8,2.35,3.2,2.75,2.44,3.41,2.88,2.45,3.37,2.9,2.34,3.25,2.75,2.34,3.21,2.77,2.29,3.4,2.72,2.33,3.32,2.71,2.29,3.13,2.86,2.4,3.3,2.84,2.34,3.25,2.75,2.34,3.21,2.77,,,,,,,2.23,2.9,2.9,2.23,2.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,france,national-2-group-a,RennesII,Rouen,2022-08-27,15:00:00,0,1,0,1,0,0,,,,,,,4.82,3.74,1.59,6.4,3.8,1.49,,,,,,,5.75,3.8,1.47,5.75,3.9,1.46,,,,,,,,,,,,,4.6,3.34,1.72,5.85,3.88,1.49,6.09,3.56,1.58,6.11,3.96,1.53,,,,,,,,,,,,,4.4,3.55,1.57,4.4,3.55,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,france,national-2-group-a,Blois,Poissy,2022-08-27,17:00:00,0,2,0,0,0,2,,,,,,,1.69,3.5,4.56,1.69,3.5,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,france,national-2-group-a,Saint-Pryve,Evreux,2022-09-03,17:00:00,0,0,0,0,0,0,,,,,,,2.12,3.24,3.07,2.19,3.24,3.08,,,,,,,,,,,,,,,,,,,,,,,,,2.12,3.25,3.13,2.17,3.24,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,france,national-2-group-a,Saint-Malo,RennesII,2022-09-03,17:00:00,2,2,0,1,2,1,,,,,,,1.82,3.5,3.8,1.8,3.4,4.14,,,,,,,,,,,,,,,,,,,,,,,,,1.78,3.4,4.1,1.78,3.4,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,france,national-2-group-a,Poissy,Granville,2022-09-03,17:00:00,4,3,1,1,3,2,,,,,,,1.82,3.5,3.8,1.74,3.34,4.58,1.8,3.6,3.75,1.75,3.4,4.1,1.74,3.25,4.3,1.83,2.8,5.0,,,,,,,,,,,,,1.86,3.24,3.94,1.85,3.2,4.05,1.81,3.32,4.47,1.88,2.87,5.19,,,,,,,1.77,3.4,3.8,1.72,3.4,4.1,1.8,3.35,3.55,1.8,3.35,3.55,1.01,1.01,1.01,1.8,3.09,4.42,,,,,,,,,,,,,,,,,,,,,,,,
9,france,national-2-group-a,GuingampII,Beauvais,2022-09-03,17:00:00,3,2,1,1,2,1,2.31,3.17,3.36,2.54,3.27,2.89,2.27,3.24,2.81,2.39,3.2,2.71,2.25,3.3,2.8,2.25,3.2,2.8,2.15,2.95,3.15,2.4,3.1,2.75,2.3,3.16,3.34,2.53,3.25,2.88,2.21,3.0,3.18,2.42,3.09,2.75,2.31,3.2,2.82,2.39,3.2,2.71,2.25,3.07,3.25,2.47,3.16,2.8,2.21,3.0,3.18,2.42,3.09,2.75,2.35,3.1,2.7,2.35,3.1,2.7,2.23,3.15,2.7,2.23,3.15,2.7,1.01,1.01,1.01,2.29,3.04,2.77,,,,,,,,,,,,,,,,,,,,,,,,
