,FTHG,FTAG,FTR,Home,Away,PH,PD,PA,PCH,PCD,PCA,H_LastOdds,A_LastOdds,H_LastFTG,A_LastFTG,H_MMR,A_MMR,H_3Points,A_3Points,H_9Points,A_9Points,H_17Points,A_17Points,H_3EVs,A_3EVs,H_5EVs,A_5EVs,H_9EVs,A_9EVs,H_1shock,A_1shock,H_3shock,A_3shock,H_7shock,A_7shock,H_winstreak,A_winstreak
0,0.0,2.0,A,Crystal Palace,Arsenal,4.5,3.65,1.89,4.58,3.63,1.88,4.58,1.88,0.0,0.0,25.0,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2.0,2.0,D,Fulham,Liverpool,11.2,6.22,1.28,10.5,6.5,1.29,10.5,1.29,0.0,0.0,25.0,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2.0,0.0,H,Bournemouth,Aston Villa,3.93,3.58,2.04,4.09,3.59,2.0,4.09,2.0,0.0,0.0,25.0,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,2.0,1.0,H,Leeds,Wolves,2.39,3.33,3.3,2.45,3.44,3.09,2.45,3.09,0.0,0.0,25.0,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,2.0,0.0,H,Newcastle,Nott'm Forest,1.71,3.74,5.83,1.57,4.22,6.6,1.57,6.6,0.0,0.0,25.0,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,4.0,1.0,H,Tottenham,Southampton,1.37,5.39,9.11,1.39,5.34,8.55,1.39,8.55,0.0,0.0,25.0,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,0.0,1.0,A,Everton,Chelsea,6.04,4.06,1.63,6.89,4.16,1.56,6.89,1.56,0.0,0.0,25.0,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,2.0,2.0,D,Leicester,Brentford,2.07,3.69,3.74,1.96,3.69,4.29,1.96,4.29,0.0,0.0,25.0,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,1.0,2.0,A,Man United,Brighton,1.65,4.14,5.68,1.81,3.86,4.72,1.81,4.72,0.0,0.0,25.0,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,0.0,2.0,A,West Ham,Man City,8.58,5.48,1.38,8.0,5.35,1.41,8.0,1.41,0.0,0.0,25.0,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
10,2.0,1.0,H,Aston Villa,Everton,1.83,3.55,5.12,1.81,3.64,5.11,1.81,5.11,0.0,0.0,20.2738006596685,20.2738006596685,0,0,0,0,0,0,1.0,5.89,1.0,5.89,1.0,5.89,6.18,0.56,6.18,0.56,6.18,0.56,-1,-1
11,4.0,2.0,H,Arsenal,Leicester,1.58,4.34,6.22,1.58,4.42,5.97,1.58,5.97,0.0,0.0,29.726199340331494,24.999999999999996,3,1,3,1,3,1,1.88,0.96,1.88,0.96,1.88,0.96,-1.7599999999999998,1.96,-1.7599999999999998,1.96,-1.7599999999999998,1.96,1,0
12,0.0,0.0,D,Brighton,Newcastle,2.48,3.24,3.22,2.5,3.3,3.14,2.5,3.14,0.0,0.0,29.726199340331494,29.726199340331494,3,3,3,3,3,3,4.72,1.57,4.72,1.57,4.72,1.57,-6.629999999999999,-1.1400000000000001,-6.629999999999999,-1.1400000000000001,-6.629999999999999,-1.1400000000000001,1,1
