,Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
0,Austria,Bundesliga,2012/2013,21/07/2012,15:00,Sturm Graz,Salzburg,0,2,A,3.26,3.34,2.4,3.26,3.4,2.5,2.96,3.2,2.33
1,Austria,Bundesliga,2012/2013,21/07/2012,17:30,Mattersburg,Neustadt,2,0,H,1.79,3.81,5.0,1.9,3.81,5.0,1.77,3.51,4.33
2,Austria,Bundesliga,2012/2013,21/07/2012,17:30,Rapid Vienna,Wacker Innsbruck,4,0,H,1.5,4.46,7.72,1.5,4.46,8.09,1.45,4.09,7.09
3,Austria,Bundesliga,2012/2013,22/07/2012,15:00,Admira,Ried,0,2,A,2.18,3.51,3.61,2.18,3.51,3.77,2.12,3.29,3.32
4,Austria,Bundesliga,2012/2013,25/07/2012,17:30,Wolfsberger AC,Austria Vienna,0,1,A,3.83,3.62,2.06,3.83,3.62,2.1,3.53,3.28,2.0
5,Austria,Bundesliga,2012/2013,28/07/2012,17:30,Austria Vienna,Sturm Graz,0,1,A,2.12,3.42,3.91,2.15,3.6,4.03,1.99,3.29,3.67
6,Austria,Bundesliga,2012/2013,28/07/2012,17:30,Neustadt,Rapid Vienna,0,1,A,6.38,4.13,1.61,6.75,4.13,1.7,5.8,3.71,1.57
7,Austria,Bundesliga,2012/2013,28/07/2012,17:30,Salzburg,Mattersburg,3,2,H,1.4,4.84,9.51,1.4,5.05,10.0,1.36,4.52,8.39
8,Austria,Bundesliga,2012/2013,29/07/2012,15:00,Wacker Innsbruck,Admira,1,2,A,2.44,3.52,3.08,2.44,3.53,3.35,2.22,3.27,3.09
9,Austria,Bundesliga,2012/2013,29/07/2012,17:30,Ried,Wolfsberger AC,0,2,A,1.51,4.37,7.78,1.75,4.37,7.78,1.53,3.8,6.16
10,Austria,Bundesliga,2012/2013,04/08/2012,17:30,Wolfsberger AC,Salzburg,0,2,A,5.78,3.82,1.71,5.78,3.82,1.75,4.92,3.63,1.66
11,Austria,Bundesliga,2012/2013,04/08/2012,17:30,Mattersburg,Sturm Graz,3,1,H,2.64,3.27,2.96,2.67,3.32,3.03,2.52,3.18,2.71
12,Austria,Bundesliga,2012/2013,05/08/2012,15:00,Rapid Vienna,Austria Vienna,0,3,A,1.92,3.46,4.79,2.15,3.53,4.79,1.88,3.3,4.11
13,Austria,Bundesliga,2012/2013,05/08/2012,15:00,Ried,Wacker Innsbruck,2,0,H,1.83,3.6,5.11,1.86,3.6,5.13,1.8,3.41,4.33
14,Austria,Bundesliga,2012/2013,05/08/2012,17:30,Admira,Neustadt,4,0,H,1.51,4.29,7.85,1.6,4.29,7.85,1.52,3.87,6.18
15,Austria,Bundesliga,2012/2013,11/08/2012,17:30,Sturm Graz,Wolfsberger AC,4,1,H,1.57,4.2,6.61,1.65,4.2,6.61,1.56,3.79,5.68
16,Austria,Bundesliga,2012/2013,11/08/2012,17:30,Wacker Innsbruck,Mattersburg,2,1,H,2.22,3.31,3.66,2.35,3.32,3.66,2.22,3.2,3.15
17,Austria,Bundesliga,2012/2013,12/08/2012,15:00,Neustadt,Ried,2,3,A,3.45,3.28,2.35,3.7,3.3,2.35,3.37,3.2,2.14
18,Austria,Bundesliga,2012/2013,12/08/2012,15:00,Salzburg,Rapid Vienna,0,2,A,1.85,3.6,4.88,1.95,3.6,5.09,1.82,3.4,4.33
19,Austria,Bundesliga,2012/2013,12/08/2012,17:30,Austria Vienna,Admira,1,0,H,1.71,3.94,5.46,1.75,3.94,5.46,1.71,3.57,4.69
20,Austria,Bundesliga,2012/2013,18/08/2012,17:30,Wolfsberger AC,Mattersburg,0,1,A,2.74,3.46,2.7,2.74,3.46,2.8,2.52,3.25,2.68
21,Austria,Bundesliga,2012/2013,18/08/2012,17:30,Admira,Salzburg,4,4,D,3.19,3.37,2.4,3.4,3.5,2.44,3.13,3.3,2.21
22,Austria,Bundesliga,2012/2013,18/08/2012,17:30,Rapid Vienna,Sturm Graz,3,0,H,1.66,3.96,5.76,1.8,3.96,5.76,1.7,3.56,4.88
23,Austria,Bundesliga,2012/2013,18/08/2012,17:30,Wacker Innsbruck,Neustadt,2,3,A,1.51,4.26,7.79,1.7,4.26,7.79,1.58,3.7,5.92
24,Austria,Bundesliga,2012/2013,19/08/2012,15:00,Ried,Austria Vienna,0,1,A,2.6,3.24,3.02,2.65,3.29,3.02,2.5,3.17,2.75
25,Austria,Bundesliga,2012/2013,25/08/2012,17:30,Austria Vienna,Wacker Innsbruck,2,0,H,1.5,4.43,7.5,1.55,4.7,9.19,1.49,3.98,6.55
26,Austria,Bundesliga,2012/2013,25/08/2012,17:30,Mattersburg,Ried,2,1,H,2.39,3.35,3.24,2.62,3.4,3.24,2.39,3.21,2.88
27,Austria,Bundesliga,2012/2013,25/08/2012,17:30,Salzburg,Neustadt,1,1,D,1.21,7.26,15.74,1.25,7.4,16.3,1.2,6.3,12.49
28,Austria,Bundesliga,2012/2013,25/08/2012,17:30,Sturm Graz,Admira,3,2,H,2.02,3.63,3.96,2.08,3.75,4.09,1.98,3.38,3.63
