,Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
0,Denmark,Superliga ,2012/2013,13/07/2012,17:30,Aarhus,Aalborg,1,1,D,2.37,3.31,3.37,2.38,3.4,3.6,2.18,3.25,3.26
1,Denmark,Superliga ,2012/2013,14/07/2012,16:00,Sonderjyske,Randers FC,6,1,H,2.65,3.34,2.89,2.65,3.35,3.25,2.4,3.21,2.89
2,Denmark,Superliga ,2012/2013,15/07/2012,13:00,Esbjerg,Silkeborg,2,3,A,2.29,3.46,3.33,2.4,3.56,3.33,2.26,3.32,3.02
3,Denmark,Superliga ,2012/2013,15/07/2012,16:00,Brondby,Odense,0,1,A,2.59,3.47,2.87,2.66,3.56,2.9,2.49,3.27,2.71
4,Denmark,Superliga ,2012/2013,15/07/2012,18:00,FC Copenhagen,Midtjylland,4,2,H,1.93,3.45,4.73,1.93,3.6,5.15,1.8,3.37,4.51
5,Denmark,Superliga ,2012/2013,16/07/2012,18:00,Horsens,Nordsjaelland,0,4,A,2.6,3.41,2.87,2.7,3.41,2.87,2.56,3.22,2.67
6,Denmark,Superliga ,2012/2013,20/07/2012,17:30,Silkeborg,Horsens,0,2,A,2.25,3.64,3.29,2.35,3.64,3.3,2.23,3.39,3.01
7,Denmark,Superliga ,2012/2013,21/07/2012,16:00,Midtjylland,Nordsjaelland,3,1,H,2.25,3.5,3.37,2.4,3.5,3.37,2.3,3.3,2.93
8,Denmark,Superliga ,2012/2013,22/07/2012,13:00,Odense,Randers FC,0,1,A,1.86,3.7,4.67,1.92,3.8,5.5,1.75,3.63,4.49
9,Denmark,Superliga ,2012/2013,22/07/2012,16:00,Sonderjyske,FC Copenhagen,1,1,D,4.29,3.59,1.96,4.29,3.68,1.99,3.86,3.52,1.89
10,Denmark,Superliga ,2012/2013,22/07/2012,18:00,Aalborg,Brondby,2,1,H,2.33,3.41,3.35,2.45,3.41,3.35,2.33,3.22,2.99
